epoch,loss,loss_contrastive_divergence,loss_regularization,lr-Adam,metrics_avg_fake,metrics_avg_real,step,val_contrastive_divergence,val_real_out
,,,,0.0001,,,0,,
0,-0.11341489851474762,-0.14728865027427673,0.03387375548481941,,0.31910109519958496,0.4663897454738617,49,,
0,-0.053116392344236374,-0.0827794075012207,0.02966301515698433,,0.32668036222457886,0.40945976972579956,99,,
0,-0.02627132460474968,-0.03035750985145569,0.004086185246706009,,0.11532385647296906,0.14568136632442474,149,,
0,-0.04573321342468262,-0.055432260036468506,0.00969904474914074,,0.16230568289756775,0.21773794293403625,199,,
0,-0.04001004621386528,-0.05789561569690704,0.017885569483041763,,0.2336798757314682,0.29157549142837524,249,,
0,-0.01959245651960373,-0.028596967458724976,0.009004511870443821,,0.16208231449127197,0.19067928194999695,299,,
0,-0.029508335515856743,-0.03546687215566635,0.005958536174148321,,0.06763561815023422,0.10310249030590057,349,,
0,-0.02554318867623806,-0.028660766780376434,0.0031175788026303053,,-0.04689054936170578,-0.018229782581329346,399,,
0,0.00720223318785429,0.005885830149054527,0.001316402805969119,,-0.01699972338974476,-0.022885553538799286,449,,
0,,,,,-1.1065752506256104,,467,-1.1988407373428345,0.09226539731025696
